rel_path,path,seed,samples,dt_est,time_in_dt,real_mean,real_rmse,real_p95,real_max,real_final,dos_mean,dos_rmse,dos_p95,dos_max,fdi_mean,fdi_rmse,fdi_p95,fdi_max
sharpL\seed_148708215\log.csv,sharpL,seed_148708215,2400,0.05,58.7,0.35660412694040006,0.4980031131548305,1.1633880373120766,1.3235870663997744,0.31925263053736874,3.0045417934765815,3.34226414401871,4.890138129416145,4.896296997635874,1.1892175732049703,1.4923277927798062,2.6417252564029865,2.770424126574358
sharpL\seed_157394221\log.csv,sharpL,seed_157394221,2400,0.05,65.35000000000001,0.3928767444994694,0.5340990264708861,1.1528222967387394,1.372396577827413,1.179920075279584,3.4004112390869645,3.9941437286617147,6.424436137314407,7.308193052571304,1.5679388046665426,1.7151113307148294,2.9364724332100827,3.1895418484917255
sharpL\seed_190257413\log.csv,sharpL,seed_190257413,2400,0.05,53.6,0.46024884496132773,0.6200282479621732,1.262824829725449,1.487597797507074,0.4522314259786054,3.127356003045668,3.72920623072212,5.593577300596197,6.171542566258062,1.871933286626078,2.1158344698654825,3.0861153066059486,3.159362224944458
sharpL\seed_208654029\log.csv,sharpL,seed_208654029,2400,0.05,57.25,0.34168388967097363,0.4496994697437853,0.9696295770682986,1.1131099814851277,0.29804280992732873,3.2739667187674963,3.695035915597353,5.801718732767938,6.448339469773036,1.6061156386203896,1.7458677360844514,2.5735085278484373,2.7132208578491794
sharpL\seed_289151763\log.csv,sharpL,seed_289151763,2400,0.05,68.4,0.5203774320203302,0.694468735403946,1.3738704602759546,1.6351177164465838,1.4895848085291064,4.699652938375583,5.622330828830021,8.904827160603453,9.311383102100104,3.0206489638499505,3.246072909675739,4.265763298782076,4.709225103894604
sharpL\seed_40008312\log.csv,sharpL,seed_40008312,2400,0.05,72.55,0.45320847182641844,0.6240328947831362,1.2385414148489213,1.5692511610306108,1.5692511610306108,4.121789822931607,5.1498717707711466,7.802582724179822,7.802582724179822,2.8017071214494083,3.106663850461689,4.2153760618283025,4.59634278439833
sharpL\seed_406425411\log.csv,sharpL,seed_406425411,2400,0.05,62.2,0.31362124484136017,0.44715550103346713,1.074776168303163,1.4205284397059252,1.2438340340217087,3.9434499136154955,4.633433289063815,6.680092488110255,6.681366726302439,0.9265167374967113,1.090517475299447,1.8425305890328656,2.0751161786272903
sharpL\seed_47254919\log.csv,sharpL,seed_47254919,2400,0.05,63.550000000000004,0.39353407344631536,0.550883296315124,1.2479058048243015,1.4672359384040767,0.3390797538062553,4.968252758456408,5.994438097420419,9.01100772276949,9.0685498011926,0.6879281629122541,0.8302407254500218,1.6199104009113656,1.6945501519536803
sharpL\seed_503275508\log.csv,sharpL,seed_503275508,2400,0.05,44.150000000000006,0.2305215693735924,0.27374331083930886,0.5079704462980741,0.9548062682773049,0.2823846909275958,4.319219716443698,4.973553473234008,6.667720210454279,6.7273716112031225,2.305132956639764,2.5112945739582746,3.20357956620393,3.2481761119337955
sharpL\seed_517237545\log.csv,sharpL,seed_517237545,2400,0.05,36.85,0.27676814389355625,0.36551499688880934,0.874336665486271,1.0704088486616938,0.26113027133278527,2.2374745556287445,2.5102138700877847,4.134588300659041,4.134628235317463,1.2398717048271042,1.3535965266801533,2.2000516110492283,2.3494051940694005
