path,seed,s_final,err_real_mean,err_dos_mean,err_fdi_mean,time_in_dt_ratio,tube_violations,dos_windows,fdi_windows
freehand_20250908_111215_02,55188041,0.588134172738497,0.7041936174500508,1.8056718154266576,2.7994306978848074,0.65,1065,7,6
freehand_20250908_111215_02,145099331,0.588134172738497,0.5341395675013845,2.172286012223147,2.745714074294846,0.4775,1072,4,5
freehand_20250908_111215_02,808610367,0.588134172738497,0.6728028607529294,3.0627018778576574,1.9460455621569828,0.5866666666666667,1144,7,4
freehand_20250908_111215_02,297920509,0.588134172738497,0.6766000865528567,2.953785724892091,2.0156039054856607,0.44875,1232,4,5
freehand_20250908_111215_02,902205714,0.588134172738497,0.6328057963945567,2.337482874972467,2.2806830946507435,0.6383333333333333,1141,5,5
freehand_20250908_111215_02,621658085,0.588134172738497,0.6559010902710655,2.2269813878650155,1.9137641843135857,0.57375,1143,6,4
freehand_20250908_111215_02,877987306,0.588134172738497,0.5276361581226336,1.016183305456216,2.296972883833662,0.4425,952,2,5
freehand_20250908_111215_02,85070132,0.588134172738497,0.5987791708318487,1.9637568839406776,2.004250408200198,0.46541666666666665,1192,5,4
freehand_20250908_111215_02,72830865,0.588134172738497,0.6405849681801812,1.3878214382859468,1.8554204668428826,0.42125,1122,4,3
freehand_20250908_111215_02,958071528,0.588134172738497,0.6123551463630121,1.7507148537326622,2.9570925271400643,0.6504166666666666,965,5,7
freehand_20250908_111215_02,623879088,0.588134172738497,0.7379878417837146,1.8587700388125017,1.728218905285554,0.58,1125,6,4
freehand_20250908_111215_02,397866253,0.588134172738497,0.7203047105366452,2.571866204425085,1.7184853505688273,0.635,1126,5,5
freehand_20250908_111215_02,229703284,0.588134172738497,0.5787149210652458,2.486832042772562,3.022199701025028,0.5866666666666667,1170,4,6
freehand_20250908_111215_02,953404171,0.588134172738497,0.7638793142920718,2.9818479078304008,2.513481787656367,0.5666666666666667,1061,5,7
freehand_20250908_111215_02,110615861,0.588134172738497,0.6487724803972064,2.9409490823334994,1.721242470625028,0.38208333333333333,1028,3,4
freehand_20250908_111215_02,792010894,0.588134172738497,0.7634259050507791,3.713261600740495,1.6947475955696305,0.50375,1037,5,5
freehand_20250908_111215_02,384253479,0.588134172738497,0.7117985777338824,1.1828987633029475,1.7591698491870769,0.49291666666666667,1152,4,5
freehand_20250908_111215_02,200898056,0.588134172738497,0.7161529399119121,2.747715064238666,1.648896559641309,0.44,925,3,4
freehand_20250908_111215_02,716982565,0.588134172738497,0.6159593298124931,1.9191156898811679,2.0791428522615614,0.50875,1210,6,5
freehand_20250908_111215_02,133009306,0.588134172738497,0.6582838225427252,2.64840298343007,1.632318916190174,0.5154166666666666,928,6,4
freehand_20250908_111225_03,250131397,0.5642901194078135,0.05031488244365369,1.2589508326788859,1.7337775632851142,0.5404166666666667,25,6,5
freehand_20250908_111225_03,910637942,0.43421328684660077,0.04072351845656237,2.853100823929681,2.6454188102329317,0.64875,60,6,4
freehand_20250908_111225_03,836537980,0.41776608927701814,0.03332421478238066,1.2558257783384652,1.3988719465910568,0.40541666666666665,0,3,4
freehand_20250908_111225_03,182249536,0.546113746248159,0.035663895175941186,1.5264478863903348,2.809883791346891,0.6533333333333333,0,6,6
freehand_20250908_111225_03,80961824,0.5879565432615487,0.037940902387567,0.9472487702511811,1.4777013484998665,0.5995833333333334,2,6,6
freehand_20250908_111225_03,283649298,0.44870171577009865,0.04819164882087137,0.9935511845775125,1.7449181888625125,0.5445833333333333,1,5,5
freehand_20250908_111225_03,157552587,0.6151817688823557,0.03736446881103132,1.7893028496185184,2.3030686292724942,0.5529166666666666,0,5,5
freehand_20250908_111225_03,123335560,0.6174432745646601,0.03310901999553464,1.7447279029787304,2.0866681109296357,0.4170833333333333,0,4,4
freehand_20250908_111225_03,149358913,0.5732849331399257,0.03267389014486191,1.448519159109068,1.3947203948823446,0.38083333333333336,0,4,3
freehand_20250908_111225_03,866393371,0.6160495814617241,0.033414503990890694,1.784764299405075,1.2674213564681542,0.4320833333333333,0,4,4
freehand_20250908_111225_03,530203598,0.5466548026067125,0.03346787262489984,1.5124006505949308,1.6743067942492613,0.51375,0,6,4
freehand_20250908_111225_03,779058499,0.6083399654270464,0.036807166563853584,1.1523308734820297,2.551476031548605,0.54375,29,5,6
freehand_20250908_111225_03,788533666,0.6259691813093171,0.039524094732966954,1.9968403791979612,1.8865858574423138,0.5983333333333334,0,5,6
freehand_20250908_111225_03,656648671,0.6067078058163031,0.0365962864268817,1.6500112379991978,1.6820054322973392,0.5554166666666667,0,6,5
freehand_20250908_111225_03,24478537,0.49665425145491854,0.03892629860673897,1.5179820487898736,2.0429613507812814,0.5591666666666667,0,6,5
freehand_20250908_111225_03,930436191,0.5265393503217385,0.04685182309452486,1.4066641960981074,2.3567578451825155,0.685,96,6,5
freehand_20250908_111225_03,139159660,0.6023708291851437,0.04377118679507148,2.1997287186759293,3.0202576714366485,0.5345833333333333,71,3,6
freehand_20250908_111225_03,389179912,0.5858590917032858,0.03433315026817406,2.0438705494136546,1.836596039800458,0.4195833333333333,0,5,4
freehand_20250908_111225_03,700429483,0.5986167626328692,0.03778180729728783,1.7856584425206483,3.079145525474938,0.53875,15,5,5
freehand_20250908_111225_03,712812810,0.5347405964378134,0.03672473221657165,1.2007120670370015,0.8878140812938797,0.38125,61,5,3
freehand_20250908_111225_03,954816780,0.6131862708874145,0.04832213964495474,2.1253988085622733,2.9064342961380523,0.6979166666666666,5,6,6
freehand_20250908_111225_03,780799090,0.5695513168490202,0.03184176334058622,0.7142831399772642,1.2042394769788787,0.5770833333333333,0,6,5
freehand_20250908_111225_03,969639647,0.6204166442783834,0.03922645769629186,1.6389715625321475,2.9855600030117713,0.5225,0,4,5
freehand_20250908_111225_03,724425710,0.39663130106156996,0.038885970211534227,1.5437633490937905,1.4079638819574627,0.39625,62,4,3
freehand_20250908_111225_03,582128900,0.5934842100089204,0.0275768856384229,2.683193661555798,2.577567126286109,0.49291666666666667,0,5,3
freehand_20250908_111225_03,261271888,0.5324792435689819,0.038816163835065774,1.1117652977847592,1.6474033123001404,0.5158333333333334,111,5,4
freehand_20250908_111225_03,966154540,0.5964864723641754,0.03531300652810612,0.6093446219965327,3.5305927022889145,0.5329166666666667,26,3,6
freehand_20250908_111225_03,950141356,0.5945542354894756,0.030033716602442282,1.1651730244672824,1.0065481357688333,0.52,28,6,3
freehand_20250908_111225_03,335285843,0.6210228393760505,0.04030880912558661,2.544630566523894,3.281544813729951,0.56,59,3,6
freehand_20250908_111225_03,603468486,0.6419798313314757,0.048724362693981685,2.1738632914970792,2.2148684070802256,0.6083333333333333,31,6,5
freehand_20250908_111237_04,201695126,0.639002206916838,0.06590335607660881,2.4898577461047573,1.190883815247869,0.49625,35,5,5
freehand_20250908_111237_04,602225687,0.650005639600196,0.05108198190676293,1.367892443763447,1.3315149042452585,0.5275,21,4,4
freehand_20250908_111237_04,567329568,0.7033456536120811,0.05932912416877747,1.960033665909216,1.107294409927745,0.5558333333333333,33,6,4
freehand_20250908_111237_04,499682237,0.6696405067155152,0.05656797033106938,2.1823788871932432,2.7871603335664106,0.5920833333333333,78,6,7
freehand_20250908_111237_04,690229069,0.5255776711192511,0.05768453158333596,1.7108363167406442,1.3015995114406118,0.5154166666666666,8,5,4
freehand_20250908_111237_04,933403485,0.5906769130890432,0.04895658822697994,1.4175457663692994,2.131806431776182,0.5883333333333334,15,5,5
