t,mode,fdi_on,fdi_type,fdi_detected,s,x,y,x_ref,y_ref,r_pos,r_th,v_out,w_out,v_main,w_main
25.387810468673706,dt,1,bias,1,0.4391791564930869,0.22071551240720494,3.587381853106423,0.20290434426523546,3.6047023876228446,0.128062484748657,0.08726646259971638,0.15,-0.14513701350172292,0.023540995159728295,-0.19529596888567863
25.43950867652893,dt,1,bias,1,0.4402737642640741,0.2255910377189921,3.5816827959094715,0.20834624655072348,3.599611575807388,0.12806248474865706,0.08726646259971638,0.15,-0.11355682216770514,0.023584008777851356,-0.18829922696619752
25.48908305168152,dt,0,bias,1,0.4413684565682418,0.23043412627531984,3.57595614826573,0.2137885690975324,3.594520370844244,0.0,0.0,0.15,-0.09726023903803498,0.15,0.11511298470708604
25.539713621139526,dt,0,bias,1,0.442462994801816,0.23524930891876705,3.570206016431568,0.2192301256739758,3.5894298824340227,0.0,0.0,0.15,-0.08527988964596471,0.15,0.12107837298923406
25.59050750732422,dt,0,bias,1,0.44356407727034725,0.24003992933218485,3.56443540502076,0.22470421727174217,3.5843089580361127,0.0,0.0,0.15,-0.0765003776116577,0.15,0.12652529646954205
25.6405291557312,dt,0,bias,1,0.44466439197313706,0.24480844205663854,3.558646511655295,0.23017449188021444,3.5791916043701226,0.0,0.0,0.15,-0.11807210360188106,0.10039236422919413,-0.09075893109119351
25.69072413444519,dt,0,bias,1,0.44576407127804313,0.24954269654156627,3.5528295679155,0.23564160757342273,3.574077205818411,0.0,0.0,0.15,-0.14674686734122266,0.10049200342050421,-0.10613153557277034
25.741666316986084,dt,0,bias,1,0.44686601777752943,0.25423414305836417,3.5469780442182035,0.24093926835807772,3.5687685388294534,0.0,0.0,0.15,-0.16538546377179472,0.07549383796348998,-0.10980652299581085
25.79132914543152,dt,0,bias,1,0.4479668441178406,0.2588770418769006,3.541087926175173,0.24614833516134219,3.5633806792790272,0.0,0.0,0.15,-0.17750055145166657,0.07540388852753743,-0.1071617879899594
25.842424869537354,dt,0,bias,1,0.4490666585901412,0.2634674835712963,3.53515683478738,0.25132289554134346,3.557969423487322,0.0,0.0,0.15,-0.14309505166347564,0.15,-0.0153541059505584
25.89273500442505,dt,0,bias,1,0.45016549526184807,0.2680153726433461,3.529193052012301,0.2564498892925504,3.552521992626665,0.0,0.0,0.15,-0.15850925640277677,0.15,-0.007387153590874098
25.942625045776367,dt,0,bias,1,0.45126341135612325,0.27251585363911823,3.5231934127892566,0.26157258777871834,3.5470791254851117,0.0,0.0,0.15,-0.1730310166618049,0.15,0.11941101888763839
25.992703437805176,dt,0,bias,1,0.452360401845271,0.27696426067074637,3.517155062444919,0.2666909675414338,3.5416408469872263,0.0,0.0,0.15,-0.18200965674466216,0.15,0.12895122352990288
26.04277992248535,main,0,bias,0,0.4534564138988098,0.281357532352638,3.5110764800502245,0.2718047820822359,3.5362074190376243,0.0,0.0,0.15,-0.18200965674466216,0.15,0.13899456453713152
